"Longitude","Latitude","HousingMedianAge","TotalRooms","TotalBedrooms","Population","Households","MedianIncome","MedianHouseValue","OceanProximity"
-118.33,34.05,45,1707,519,1446,466,2.1736,171.3,"<1H OCEAN"
-122.47,37.69,30,837,213,606,199,4.875,258.8,"NEAR OCEAN"
-117.07,32.71,39,2754,652,2263,619,2.2454,89.6,"NEAR OCEAN"
-122.06,37.39,22,1236,290,413,274,3.6875,40,"NEAR BAY"
-122.72,38.58,4,7042,1100,2936,1043,5.0555,240.8,"<1H OCEAN"
-117.99,33.71,17,1600,458,1803,432,2.7865,216.7,"<1H OCEAN"
-122.02,37.31,35,2355,384,1248,378,5.9714,332.5,"<1H OCEAN"
-118.8,34.19,4,15572,2222,5495,2152,8.6499,500.001,"<1H OCEAN"
-120.43,37.32,16,1170,178,566,181,5.2522,125.3,"INLAND"
-117.01,32.75,34,2105,340,973,357,4.3088,152.5,"<1H OCEAN"
-119.27,36.34,7,3433,626,1793,626,3.5296,83.7,"INLAND"
-117.89,33.85,18,2036,414,1292,380,3.875,273,"<1H OCEAN"
-118.32,34.17,39,1995,564,1202,544,3.5875,250,"<1H OCEAN"
-117.06,32.77,18,2269,682,1329,581,1.7951,161.8,"NEAR OCEAN"
-117.17,32.71,7,2493,693,951,641,4.2375,205,"NEAR OCEAN"
-118.26,34.16,17,2943,769,1312,656,3.1484,187.5,"<1H OCEAN"
-122.15,38.29,17,1625,239,703,224,6.5891,328.8,"NEAR BAY"
-120.79,38.7,13,5036,1034,2243,923,2.3319,138.5,"INLAND"
-122.25,37.49,44,4420,743,1790,735,6.142,394.7,"NEAR OCEAN"
-118.09,33.88,27,3119,635,1887,567,3.8654,195.3,"<1H OCEAN"
-117.87,33.74,16,1243,365,1925,376,2.7632,158.9,"<1H OCEAN"
-121.98,37.37,35,995,202,615,199,5.0942,217.5,"<1H OCEAN"
-118.3,33.99,47,2212,533,1903,554,1.9853,101.1,"<1H OCEAN"
-117.27,34.4,8,6042,979,3031,991,3.3438,124.4,"INLAND"
-120.92,37.59,26,1705,279,642,236,2.6591,180.5,"INLAND"
-118.12,33.96,38,1301,264,877,275,4.625,191.3,"<1H OCEAN"
-117.68,33.63,16,5218,1187,2701,1125,3.929,143.1,"<1H OCEAN"
-116.42,33.51,26,186,48,102,39,2.5625,103.1,"INLAND"
-118.12,33.91,35,620,122,381,124,3.7917,183.9,"<1H OCEAN"
-118.04,34.05,34,1058,230,1043,229,3.0536,137.5,"<1H OCEAN"
-122.41,37.98,36,60,15,42,25,1.4583,67.5,"NEAR BAY"
-118.11,33.89,34,2508,594,1549,545,3.2069,236.5,"<1H OCEAN"
-122.19,37.83,29,1791,271,661,269,6.8538,368.9,"NEAR BAY"
-118.19,33.89,31,886,224,1154,247,2.1071,99.5,"<1H OCEAN"
-118.09,33.89,27,3399,882,2465,811,3.099,166.6,"<1H OCEAN"
-122.08,40.64,14,3099,519,1447,494,4.0132,141.2,"INLAND"
-122.48,37.74,52,2841,517,1372,517,3.9236,335,"NEAR OCEAN"
-118.36,34.11,35,3946,695,1361,620,6.5195,500.001,"<1H OCEAN"
-118,33.75,26,1382,387,1977,368,2.7589,137.5,"<1H OCEAN"
-117.87,33.89,17,1441,530,769,456,2.425,171.7,"<1H OCEAN"
-117.35,33.16,10,1684,515,902,449,3.7891,206.3,"NEAR OCEAN"
-118.06,33.81,25,3497,513,1839,544,5.4216,263,"<1H OCEAN"
-118.29,33.94,32,2701,708,1880,590,1.6716,123.8,"<1H OCEAN"
-117.31,34.04,5,2785,577,1310,536,3.39,149.5,"INLAND"
-120.42,40.38,26,1652,313,762,280,2.4757,85.6,"INLAND"
-119.17,34.17,32,1567,304,1482,308,3.5867,182.1,"NEAR OCEAN"
-118.15,33.97,32,1174,373,1758,361,2.4263,158.1,"<1H OCEAN"
-117.36,34.48,3,16533,2549,7588,2285,3.9792,122.1,"INLAND"
-122.72,38.45,41,1743,373,780,357,3.1467,175.5,"<1H OCEAN"
-121.49,38.56,52,1777,368,624,350,3.6729,137.8,"INLAND"
-122.51,37.76,43,2345,624,1439,614,2.8448,268.9,"NEAR OCEAN"
-117.15,32.71,52,217,82,531,93,1.6607,137.5,"NEAR OCEAN"
-116.85,34.25,5,5806,1030,569,219,4.0132,163.1,"INLAND"
-121.22,39.43,17,2254,485,1007,433,1.7,92.3,"INLAND"
-118.28,34.05,31,1525,730,2510,652,1.6355,162.5,"<1H OCEAN"
-121.5,38.59,43,88,21,119,19,1.725,67.5,"INLAND"
-121.87,37.38,14,3851,534,2052,478,7.0735,335.6,"<1H OCEAN"
-120.69,35.52,26,2758,571,1291,522,2.925,181.4,"<1H OCEAN"
-122.39,37.59,33,2064,299,813,303,6.0374,500.001,"NEAR OCEAN"
-115.93,35.55,18,1321,272,754,226,3.4028,67.5,"INLAND"
-122.59,38.13,20,1589,231,601,224,5.3755,290.9,"<1H OCEAN"
-117.16,32.58,36,1940,399,1076,382,3.3906,147.8,"NEAR OCEAN"
-118.52,34.23,35,1471,210,735,219,8.3841,472.2,"<1H OCEAN"
-122.34,37.57,52,2547,373,876,359,8.2598,500.001,"NEAR OCEAN"
-118.4,33.88,42,1516,341,634,327,6.2356,472.7,"<1H OCEAN"
-121.52,37.75,18,1544,272,825,286,4.3229,327.3,"INLAND"
-118.01,34.13,38,3374,671,1906,640,4.0729,212.3,"INLAND"
-122.41,37.8,30,1821,738,1648,684,0.8836,450,"NEAR BAY"
-119.4,36.55,19,3000,628,2202,590,2.5141,67.4,"INLAND"
-121.85,37.25,20,3773,624,1965,607,5.4939,241.2,"<1H OCEAN"
-117.34,34.51,6,5667,1385,2447,1199,2.3617,103.1,"INLAND"
-121.9,36.97,21,3707,751,1420,608,4.4485,295.2,"NEAR OCEAN"
-118.59,34.2,18,847,185,733,178,5.2149,201.9,"<1H OCEAN"
-118.1,34.58,29,2843,603,1517,573,2.6658,106.9,"INLAND"
-118.02,33.73,24,6393,1141,2743,1057,5.1384,336.9,"<1H OCEAN"
-119.8,37.5,15,989,184,406,151,3.1771,121.9,"INLAND"
-121.7,37.2,15,531,154,469,155,4.65,385.7,"<1H OCEAN"
-121.24,38.79,15,2615,485,1063,428,3.7904,173.2,"INLAND"
-121.19,38.04,35,703,117,290,107,3.225,177.1,"INLAND"
-117.23,33.89,5,11775,2031,6686,1911,4.1953,136.6,"INLAND"
-117.99,33.79,21,2695,707,1888,683,3.2857,213.3,"<1H OCEAN"
-122.23,37.79,40,930,199,564,184,1.3281,113.3,"NEAR BAY"
-121.76,37.68,52,2157,418,929,419,3.7301,204.4,"INLAND"
-120.37,36.15,34,2084,339,868,347,4.381,86.3,"INLAND"
-117.67,34.1,28,1263,248,601,219,3.875,174,"INLAND"
-121.35,37.97,33,3656,681,1698,671,3.1406,93.9,"INLAND"
-117.9,33.73,30,746,172,1048,163,4.1,166.4,"<1H OCEAN"
-118.22,33.83,44,1792,404,1115,358,3.9091,174.4,"<1H OCEAN"
-122.09,37.39,43,2065,535,1029,500,3.7318,327.7,"NEAR BAY"
-122.12,37.38,34,1443,218,504,200,8.4709,500.001,"NEAR BAY"
-118.22,33.9,38,796,159,679,167,3.6607,110.4,"<1H OCEAN"
-121.9,37.3,52,1456,269,582,277,5.036,296.6,"<1H OCEAN"
-118.5,34.15,33,3104,387,1111,376,13.4196,500.001,"<1H OCEAN"
-118.46,34.01,39,711,148,347,153,4.2813,297.2,"<1H OCEAN"
-118.38,33.87,17,2791,579,1467,583,5.7415,321.9,"<1H OCEAN"
-121.04,39.22,14,1889,471,853,399,2.25,112.5,"INLAND"
-122.14,37.48,36,1210,236,981,239,4.0039,148.9,"NEAR BAY"
-118.01,34.12,32,1937,332,922,340,3.94,278.4,"INLAND"
-117.61,33.45,6,950,184,426,186,4.7237,220.7,"NEAR OCEAN"
-118.35,34.09,47,1800,546,921,478,2.8021,280.6,"<1H OCEAN"
-117.8,33.92,16,5819,986,2306,914,4.6315,277.5,"<1H OCEAN"
-118.42,34.19,34,2622,572,1997,573,3.338,222.5,"<1H OCEAN"
-118.18,33.98,36,903,266,1068,251,3.0398,165.4,"<1H OCEAN"
-118.01,33.67,13,2902,536,1125,490,5.888,447.7,"NEAR OCEAN"
-118.19,34.11,40,1266,348,1032,315,2.1667,150,"<1H OCEAN"
-118.01,33.9,36,1382,257,685,255,5.125,211.7,"<1H OCEAN"
-118.47,35.64,17,2248,535,927,427,1.3023,68.5,"INLAND"
-118.99,37.65,20,2474,625,338,141,5.01,195.5,"INLAND"
-119.21,36.3,23,951,235,806,222,1.7734,41.4,"INLAND"
-122.4,37.71,47,1649,328,1183,356,3.3625,223.7,"NEAR BAY"
-122.04,37.38,38,2850,550,1518,514,4.2028,273.6,"<1H OCEAN"
-117.89,33.88,33,1582,256,771,240,5.3836,229.6,"<1H OCEAN"
-117.4,33.96,51,1806,322,709,298,3.575,125.5,"INLAND"
-122.21,37.46,40,1777,207,577,207,15.0001,500.001,"NEAR OCEAN"
-122.24,37.81,52,2026,482,709,456,3.2727,268.5,"NEAR BAY"
-122.19,38.07,20,3000,525,1207,491,4.6406,217.5,"NEAR BAY"
-122.03,37.62,35,1298,236,632,204,3.8929,209.5,"NEAR BAY"
-122.09,37.86,27,5484,760,2212,770,7.6202,402.6,"NEAR BAY"
-122.04,37.99,36,2765,495,1478,441,4.125,136.2,"NEAR BAY"
-121.79,37.3,10,5469,950,3083,906,5.9399,241.9,"<1H OCEAN"
-118.56,34.22,34,1599,294,819,306,4.3194,197,"<1H OCEAN"
-119.1,36.43,24,1039,190,643,193,2.6711,71.3,"INLAND"
-121.93,37.54,25,1354,192,596,220,6.629,352.4,"<1H OCEAN"
-118.1,33.9,43,1237,243,776,246,4.325,166,"<1H OCEAN"
-118.2,33.91,36,2283,499,1836,462,2.8793,118.1,"<1H OCEAN"
-121.43,38.61,33,2289,576,1100,503,2.1694,95.7,"INLAND"
-122.18,37.79,39,617,95,236,106,5.2578,253,"NEAR BAY"
-115.56,32.79,20,2372,835,2283,767,1.1707,62.5,"INLAND"
-118.2,34.05,8,762,204,728,174,2.4886,137.5,"<1H OCEAN"
-121.36,38.6,35,1930,328,805,338,4.4643,133,"INLAND"
-121.42,38.22,35,1507,313,868,283,2.0284,96.3,"INLAND"
-122.09,37.42,23,4874,1251,2699,1163,3.8003,229.8,"NEAR BAY"
-121.92,37.26,33,1306,259,762,237,4.5208,230.7,"<1H OCEAN"
-118.58,34.19,15,3061,1079,2173,1078,2.85,187.5,"<1H OCEAN"
-122.65,38.97,32,1856,472,703,292,1.1912,60,"INLAND"
-118.07,33.83,17,4822,1168,3868,1117,2.5978,142.9,"<1H OCEAN"
-118.16,34.03,45,894,231,925,222,2.6042,145,"<1H OCEAN"
-117.88,33.74,16,1444,446,2329,441,3.1691,159.4,"<1H OCEAN"
-118.33,33.83,5,13038,2679,5272,2523,5.5023,286.4,"<1H OCEAN"
-118.96,35.37,32,1025,259,874,236,1.9612,53.4,"INLAND"
-122.01,36.98,27,2820,730,1511,745,2.589,242.4,"NEAR OCEAN"
-118.27,34.07,38,1270,556,1692,450,1.87,170.8,"<1H OCEAN"
-117.33,34.14,29,1646,391,1296,351,1.9423,69.7,"INLAND"
-120.41,34.87,15,1534,251,761,240,4.9028,193.6,"<1H OCEAN"
-119.81,36.77,43,2341,395,890,375,3.4265,85,"INLAND"
-122.13,37.39,27,3385,427,1248,409,12.0372,500.001,"NEAR BAY"
-118.56,34.21,13,8327,1849,4126,1773,3.7313,189.8,"<1H OCEAN"
-122.52,37.95,33,4448,631,1675,628,7.8904,468.8,"NEAR BAY"
-121.77,38.67,45,2438,462,1415,510,2.8351,107.2,"INLAND"
-118.29,34.65,18,6893,1372,2837,1221,3.3173,218.4,"INLAND"
-121.02,37.6,33,1009,238,1027,246,2.5993,68,"INLAND"
-117.88,33.72,36,1910,352,1593,329,3.89,170,"<1H OCEAN"
-120.87,37.07,26,2036,401,1343,414,3.6331,88.6,"INLAND"
-117.78,33.71,16,2207,291,1081,308,7.3518,331.2,"<1H OCEAN"
-118.47,34,28,1259,302,668,280,4.2813,384.4,"<1H OCEAN"
-117.97,34.15,33,2474,472,1268,437,6.4576,500.001,"INLAND"
-121.98,37.35,36,1054,193,546,187,4.5625,240,"<1H OCEAN"
-121.07,39.05,10,1813,311,827,287,3.6087,182.1,"INLAND"
-117.91,34.02,22,6269,NA,5587,1251,3.8201,136.2,"<1H OCEAN"
-118.25,34.1,42,598,147,312,144,2.625,164.3,"<1H OCEAN"
-118.25,33.93,38,180,43,246,56,2.85,90,"<1H OCEAN"
-118.06,33.88,17,7187,1073,3844,1068,6.5901,337.4,"<1H OCEAN"
-117.19,32.83,30,2288,448,1240,469,4.0114,169.8,"NEAR OCEAN"
-117.23,32.81,24,3271,508,1496,482,5.9359,422.2,"NEAR OCEAN"
-122.04,39.72,23,2502,481,1443,455,2.5625,70,"INLAND"
-122.09,37.07,33,3581,734,1780,663,4.3429,214.3,"NEAR OCEAN"
-122.22,38.15,7,5129,NA,2824,738,5.5138,171.1,"NEAR BAY"
-118.23,34.12,32,2094,491,1413,479,4.5089,221.1,"<1H OCEAN"
-117.25,32.75,32,3551,1037,1731,935,2.2017,208.3,"NEAR OCEAN"
-122.26,37.77,52,1848,479,921,477,2.875,234,"NEAR BAY"
-117.77,34.11,28,1998,414,1124,389,3.75,180.9,"INLAND"
-121.82,37.28,33,2873,489,1946,475,5.0709,176.4,"<1H OCEAN"
-118.11,33.94,36,1949,319,909,325,5.1587,296.6,"<1H OCEAN"
-118.47,34.04,21,5041,1491,2719,1420,3.5335,268.8,"<1H OCEAN"
-118.37,34.07,52,2195,435,884,432,5.24,486.4,"<1H OCEAN"
-117.96,33.65,24,4462,689,1943,712,5.7395,289.8,"<1H OCEAN"
-118.35,33.88,44,822,180,480,177,4.4,225.8,"<1H OCEAN"
-118.27,33.99,38,1407,447,1783,402,1.8086,97.1,"<1H OCEAN"
-118.45,34.07,13,4284,1452,3806,1252,1.3125,350,"<1H OCEAN"
-118.36,33.83,36,1660,300,943,300,5.1984,353.6,"<1H OCEAN"
-120.99,39.26,16,2616,422,1090,425,3.7917,179.2,"INLAND"
-117.94,34.03,35,1499,289,1112,268,3.83,149,"<1H OCEAN"
-118.45,34.31,9,1739,358,820,323,4.0556,182.5,"<1H OCEAN"
-121.35,38.51,29,2337,391,1054,352,4.2206,157.7,"INLAND"
-121.3,37.96,52,1354,314,679,311,1.7788,97.4,"INLAND"
-117.65,34.11,28,2788,370,1140,385,5.3368,233.5,"INLAND"
-118.25,34.12,21,739,265,861,246,2.4856,181.3,"<1H OCEAN"
-118.88,34.19,16,7268,1729,3232,1653,3.3703,228.7,"<1H OCEAN"
-121.72,37.7,17,1671,352,729,252,6.1023,450,"INLAND"
-117.23,33.01,18,3961,511,1541,470,11.1118,500.001,"NEAR OCEAN"
-117.95,34,34,2376,468,1858,449,4.1328,176.3,"<1H OCEAN"
-120.45,34.65,27,2253,382,1197,384,3.3203,134.7,"NEAR OCEAN"
-120.39,38.03,20,1551,309,647,228,2.6094,139.1,"INLAND"
-118.15,33.97,33,1903,469,1882,435,2.4071,170.5,"<1H OCEAN"
-122.74,38.47,16,1426,287,525,260,3.0714,161.7,"<1H OCEAN"
-117.88,33.65,24,4879,756,1777,754,5.9055,477.3,"<1H OCEAN"
-118.42,34.27,37,1024,246,1371,239,3.225,147.5,"<1H OCEAN"
-121.21,37.81,18,2404,498,1531,506,2.995,124.3,"INLAND"
-117.84,33.8,34,2004,331,843,328,3.59,230.6,"<1H OCEAN"
-120.4,38,17,2098,370,912,354,2.6544,112.6,"INLAND"
-117.81,33.71,16,2666,387,1227,347,7.3769,302.4,"<1H OCEAN"
-118.32,33.84,42,1486,420,897,377,1.6228,376.1,"<1H OCEAN"
-118.23,33.8,26,239,135,165,112,1.3333,187.5,"NEAR OCEAN"
-118.18,34.05,41,616,196,814,180,3.3333,115.1,"<1H OCEAN"
-118.13,33.76,44,2532,621,961,550,3.9352,406.9,"NEAR OCEAN"
-122.48,37.86,52,3914,752,1177,670,6.2113,500.001,"NEAR BAY"
-121.34,38.04,16,3295,565,2279,576,3.6083,146.4,"INLAND"
-117.89,33.83,35,2984,446,1435,455,5.6276,200.8,"<1H OCEAN"
-121.28,38.14,37,3278,623,1431,575,3.3987,99.5,"INLAND"
-120.02,38.91,22,2138,493,829,330,2.2056,107.2,"INLAND"
-122.02,37.24,28,2796,365,1085,363,10.6834,500.001,"<1H OCEAN"
-118.36,33.9,41,1355,349,655,329,2.9551,205,"<1H OCEAN"
-117.9,34.12,33,1555,361,1571,386,4.0529,138.2,"<1H OCEAN"
-121.2,38.36,14,2634,463,1402,432,3.8897,175.7,"INLAND"
-117.96,34.08,39,1076,338,1242,332,2.2679,151.8,"<1H OCEAN"
-117.94,34.05,34,1519,304,1262,300,3.3409,161.2,"<1H OCEAN"
-120.85,37.49,39,2840,733,2606,737,1.9429,76.4,"INLAND"
-119.61,36.59,10,2842,620,1443,576,2.2727,92.7,"INLAND"
-118.07,33.8,17,2439,554,1161,532,3.6442,193.1,"<1H OCEAN"
-122,37.06,20,2403,376,1149,369,6.0621,304.4,"NEAR OCEAN"
-122.68,38.46,17,3201,527,1244,495,4.7143,202.9,"<1H OCEAN"
-118.42,34.18,40,1013,150,449,166,5.7143,382.4,"<1H OCEAN"
-121.96,37.53,23,2215,475,1278,492,4.2955,218.8,"<1H OCEAN"
-118.03,33.77,24,3810,579,1818,590,5.8053,255.9,"<1H OCEAN"
-121.87,37.26,24,2383,343,1146,341,5.6223,265.7,"<1H OCEAN"
-116.66,32.79,13,843,NA,918,152,6.2152,240.6,"<1H OCEAN"
-116.92,32.81,23,2668,528,1510,524,3.3669,158.9,"<1H OCEAN"
-117.2,34.14,18,1920,333,890,323,5.159,144.8,"INLAND"
-122.25,37.82,32,3809,1098,1806,1022,2.6429,218.5,"NEAR BAY"
-117.06,32.97,17,4754,877,2412,832,4.3548,192.3,"<1H OCEAN"
-118.46,33.97,19,1658,427,648,378,3.8698,500.001,"<1H OCEAN"
-117.67,33.54,16,2102,350,1003,328,4.7981,170.8,"<1H OCEAN"
-122.28,37.83,52,3108,813,1623,765,2.6997,126.9,"NEAR BAY"
-118.14,34.06,27,5257,1082,3496,1036,3.3906,237.2,"<1H OCEAN"
-119.02,35.33,35,2053,412,1193,387,2.75,65.8,"INLAND"
-118.26,34.01,47,1269,323,1628,325,1.5089,115.8,"<1H OCEAN"
-118.09,33.97,35,2664,541,2033,491,3.7326,164.3,"<1H OCEAN"
-118.14,34.69,35,2118,374,1108,360,3.4327,100.3,"INLAND"
-119.29,36.32,27,1513,374,839,350,1.2012,64.6,"INLAND"
-120.94,37.4,32,1175,208,774,222,3,109.4,"INLAND"
-117.3,34.52,34,4493,838,2335,779,3.1635,74.3,"INLAND"
-121.88,37.27,24,4567,688,2102,695,5.6895,289,"<1H OCEAN"
-122.17,37.73,43,1473,371,1231,341,2.1587,86.5,"NEAR BAY"
-121.01,37.64,36,1981,507,1998,468,1.9013,69.9,"INLAND"
-122.01,37.92,16,2638,345,1055,334,8.1163,365.8,"NEAR BAY"
-118.39,34.09,27,4312,1214,1634,1097,3.6207,362.5,"<1H OCEAN"
-118.48,34.25,35,1865,335,1074,337,5.1068,223.3,"<1H OCEAN"
-122.02,37.37,8,5686,1489,3250,1329,4.2782,327.7,"<1H OCEAN"
-118.11,33.74,43,1222,303,565,309,4.8482,500.001,"NEAR OCEAN"
-118.18,34.06,33,278,71,266,56,0.8941,98.2,"<1H OCEAN"
-121.8,38.01,37,3058,567,1351,523,3.5179,130.8,"INLAND"
-121.87,37.34,52,1087,166,650,194,6.6345,309,"<1H OCEAN"
-119.27,36.34,26,2057,472,1453,439,2.4113,58.6,"INLAND"
-118.7,34.24,28,2405,462,1011,378,4.504,204.3,"<1H OCEAN"
-118.37,34.04,42,1809,424,1094,382,2.767,143,"<1H OCEAN"
-117.98,33.73,18,3833,NA,2192,996,3.4679,219.7,"<1H OCEAN"
-120.79,36.06,29,1916,386,1019,314,2.4881,87.5,"<1H OCEAN"
-118.49,34.02,30,2075,687,1026,592,3.1635,366.7,"<1H OCEAN"
-118.14,33.95,37,1462,243,600,236,5.2015,302,"<1H OCEAN"
-115.56,32.78,29,1568,283,848,245,3.1597,76.2,"INLAND"
-122.04,37.04,17,4977,994,1987,947,3.8854,312.3,"NEAR OCEAN"
-121.84,37.24,24,7991,1286,4017,1213,5.4741,238.8,"<1H OCEAN"
-120.25,38.55,15,4403,891,1103,433,3.0125,111.7,"INLAND"
-118.34,33.9,23,2395,498,1309,493,4.9779,224.6,"<1H OCEAN"
-121.8,38.67,10,2086,380,1073,378,4.5526,154.4,"INLAND"
-122.51,37.98,37,4801,699,1830,679,6.0762,487.8,"NEAR BAY"
-117,32.79,31,3256,726,1595,706,3.4773,155.8,"<1H OCEAN"
-122.41,37.75,52,2164,606,2034,513,2.0325,178.1,"NEAR BAY"
-118.27,34,43,1638,434,1213,390,1.3403,110.8,"<1H OCEAN"
-117.17,32.75,28,1514,384,540,352,2.1532,240,"NEAR OCEAN"
-122.1,37.9,38,827,144,368,136,6.5095,294.4,"NEAR BAY"
-116.89,32.82,18,2515,443,1442,449,5.0201,154.4,"<1H OCEAN"
-118.16,33.77,29,3078,786,1460,736,2.875,232.5,"NEAR OCEAN"
-118.25,34.08,47,2133,689,2104,662,2.6136,169.2,"<1H OCEAN"
-117.51,34.02,24,7779,1835,3996,1765,2.1764,135.3,"INLAND"
-120.84,37.49,25,2383,576,1234,583,1.4529,86.1,"INLAND"
-118.3,34.02,42,2386,670,2327,661,1.6699,108,"<1H OCEAN"
-122.74,38.83,12,4515,909,1554,528,3.3531,90.8,"<1H OCEAN"
-117.99,34.15,44,2492,611,1951,596,3.1304,185.6,"INLAND"
-118.51,34.27,34,3787,771,1966,738,4.055,222.5,"<1H OCEAN"
-121.95,37.94,27,1469,216,578,219,5.9346,253.6,"INLAND"
-122.47,37.75,51,2413,431,1095,437,4.0089,357,"NEAR BAY"
-122.23,37.79,30,999,264,1011,263,1.8854,137.5,"NEAR BAY"
-124.15,40.79,37,2692,488,1263,486,3.0216,86.4,"NEAR OCEAN"
-118.04,33.99,36,3531,754,1613,697,3.2359,198.6,"<1H OCEAN"
-119.19,34.17,27,2183,364,1458,388,4.4567,191.1,"NEAR OCEAN"
-120.08,34.59,24,1874,319,820,315,5.1909,390.2,"NEAR OCEAN"
-121.94,36.98,21,3520,831,1486,753,3.0905,264.3,"NEAR OCEAN"
-122.21,37.78,49,898,244,779,245,3.0536,137.5,"NEAR BAY"
-119.25,36.36,16,3245,469,1471,450,5.8673,154.8,"INLAND"
-117.2,32.8,34,4854,912,2089,854,3.8542,200,"NEAR OCEAN"
-118.2,33.79,48,2105,592,1807,539,2.7183,190.4,"NEAR OCEAN"
-118.45,34.04,22,3319,1045,1848,940,3.6673,283.3,"<1H OCEAN"
-117.35,33.21,24,1586,262,912,298,4.25,150.3,"NEAR OCEAN"
-122.56,40.75,20,1182,250,512,210,1.7935,74.5,"INLAND"
-119.06,34.37,32,3885,759,2504,736,3.6453,201.7,"<1H OCEAN"
-118.02,33.95,35,2085,400,1112,391,3.4886,173.9,"<1H OCEAN"
-119.82,36.74,52,610,128,406,122,1.8967,43.8,"INLAND"
-121.39,38.43,3,2696,384,990,316,5.4445,237.6,"INLAND"
-118.29,34,52,2579,494,1558,458,2.0809,109.6,"<1H OCEAN"
-118.4,33.89,36,2127,314,807,306,8.1596,500.001,"<1H OCEAN"
-117.07,32.57,17,2961,634,1911,615,2.5859,131.4,"NEAR OCEAN"
-119.69,36.75,6,1926,303,965,316,4.7463,93.1,"INLAND"
-121.48,38.58,52,576,146,273,127,2.01,94.3,"INLAND"
-119.27,34.26,23,3578,753,1455,649,4.1898,359.1,"NEAR OCEAN"
-118.03,33.81,26,3635,567,1779,543,5.7089,237.4,"<1H OCEAN"
-122.61,37.99,40,7737,1488,3108,1349,4.4375,289.6,"NEAR OCEAN"
-118.05,34.02,31,40,8,25,7,2.125,375,"<1H OCEAN"
-122.23,37.79,52,1783,395,1659,412,2.9357,107.9,"NEAR BAY"
-118.13,33.93,38,2040,458,1775,445,3.5227,202.4,"<1H OCEAN"
-117.23,34.51,9,5756,807,2158,758,5.5875,167.8,"INLAND"
-118.44,33.81,33,3994,990,1647,931,5.0106,500.001,"NEAR OCEAN"
-121.46,38.54,39,1453,324,843,281,1.7692,63.9,"INLAND"
-122.38,40.57,43,2251,542,1479,512,1.5676,58.2,"INLAND"
-122.5,37.75,45,1672,344,838,314,4.1419,291.5,"NEAR OCEAN"
-118.42,34.04,51,1975,348,771,357,6.626,500.001,"<1H OCEAN"
-118.5,34.03,52,1711,245,671,242,7.7572,500.001,"<1H OCEAN"
-116.19,33.69,11,5692,1346,5682,1273,2.5383,74,"INLAND"
-118.02,34.11,39,1504,280,718,261,4.625,219,"INLAND"
-122.24,37.46,36,4686,781,2254,845,6.1043,343.5,"NEAR OCEAN"
-116.99,33.75,18,9601,2401,4002,2106,1.4366,77,"INLAND"
-117.64,33.45,27,334,56,130,46,4.875,284.1,"NEAR OCEAN"
-118.11,34.07,46,1130,229,698,209,5.2719,244.4,"<1H OCEAN"
-120.97,38,27,1683,288,873,258,4.7069,176.9,"INLAND"
-118.16,34.01,37,690,261,952,255,1.6354,158.9,"<1H OCEAN"
-121.37,38.67,36,1786,338,974,319,2.555,72.7,"INLAND"
-117.26,34.17,30,1937,351,945,344,3.8906,123.7,"INLAND"
-117.96,33.79,36,2398,403,1261,402,5.2816,221.8,"<1H OCEAN"
-120.24,38.01,11,1214,228,633,199,3.125,148.6,"INLAND"
-122.52,38.7,26,102,17,43,13,0.536,87.5,"INLAND"
-119.84,36.8,19,3244,776,1463,710,2.0469,66.9,"INLAND"
-122.33,37.57,43,2543,621,1301,606,3.1111,318.4,"NEAR OCEAN"
-121.99,37.35,18,1712,509,972,467,4.3971,238.9,"<1H OCEAN"
-121.18,37.96,35,411,74,193,59,2.5625,146.9,"INLAND"
-122.78,38.44,14,4143,656,1569,629,3.9766,345.3,"<1H OCEAN"
-122.3,38.3,44,3690,809,1922,736,2.6346,139.8,"NEAR BAY"
-121.52,39.12,37,102,17,29,14,4.125,72,"INLAND"
-118.29,34.09,43,1583,658,1941,614,1.9835,225,"<1H OCEAN"
-118.35,34.02,34,3978,1073,2725,1035,1.7622,167.9,"<1H OCEAN"
-121,39.75,8,1116,214,27,39,2.5893,83,"INLAND"
-118.34,34.04,42,1681,360,987,337,2.6,171.4,"<1H OCEAN"
-117.33,34.15,28,1473,333,1196,312,1.6993,67.8,"INLAND"
-119.57,36.1,16,1461,400,1201,384,1.5727,54.8,"INLAND"
-120.88,38.58,8,3417,604,1703,623,4.0827,170.7,"INLAND"
-122.36,37.94,43,369,107,371,111,1.6,79.4,"NEAR BAY"
-118.41,34.07,52,3562,394,1163,361,15.0001,500.001,"<1H OCEAN"
-121.25,38.67,14,6155,1034,2407,941,4.2262,244.3,"INLAND"
-115.59,32.96,17,841,146,473,154,3.1979,113.5,"INLAND"
-122.43,37.75,52,1970,495,871,474,4.0625,355.6,"NEAR BAY"
-118.48,34.27,34,1231,222,702,222,4.9323,223.7,"<1H OCEAN"
-122.15,37.74,41,856,178,571,191,3.1458,130.6,"NEAR BAY"
-118.43,34.19,27,3440,739,1827,712,4.125,245.5,"<1H OCEAN"
-122.37,40.52,18,4547,774,2269,766,3.7896,98.1,"INLAND"
-117.09,32.83,15,4138,636,2001,677,4.8419,264,"<1H OCEAN"
-118.43,34.02,41,2403,516,1001,514,4.3906,500.001,"<1H OCEAN"
-121.54,38.59,40,2120,504,1304,464,2.0368,67.8,"INLAND"
-119.74,36.76,36,912,216,842,219,1.4766,52.8,"INLAND"
